################################################################
# Data from:                                                   #
# P. B. Johnson and R. W. Christy, Phys. Rev. B 6, 4370 (1972).#
################################################################
#eV,Silver,Gold
0.64,14.08,13.78
0.77,11.85,11.21
0.89,10.10,9.519
1.02,8.828,8.145
1.14,7.795,7.150
1.26,6.992,6.350
1.39,6.312,5.663
1.51,5.727,5.083
1.64,5.242,4.542
1.76,4.838,4.103
1.88,4.483,3.697
2.01,4.152,3.272
2.13,3.858,2.863
2.26,3.586,2.455
2.38,3.324,2.081
2.50,3.093,1.833
2.63,2.869,1.649
2.75,2.657,1.448
2.88,2.462,1.271
3.00,2.275,1.103
3.12,2.070,0.948
3.25,1.864,0.799
3.37,1.657,0.658
3.50,1.419,0.524
3.62,1.142,0.393
3.74,0.829,0.263
3.87,0.392,0.134
3.99,0.616,0.007
4.12,0.964,1.668
4.24,1.161,1.691
4.36,1.264,1.715
4.49,1.331,1.737
4.61,1.372,1.758
4.74,1.387,1.778
4.86,1.393,1.797
4.98,1.389,1.815
5.11,1.378,1.831
5.23,1.367,1.847
5.36,1.357,1.861
5.48,1.344,1.875
5.60,1.342,1.887
5.73,1.336,1.898
5.85,1.325,1.909
5.98,1.312,1.919
6.10,1.296,1.927
6.22,1.277,1.934
6.35,1.255,1.940
6.47,1.232,1.946
6.60,1.212,1.950
